award_unique_key|award_id_fain|federal_action_obligation|total_obligated_amount|transaction_description|prime_award_base_transaction_description|action_date|awarding_agency_name|awarding_sub_agency_name|recipient_name|recipient_parent_name|recipient_country_name|primary_place_of_performance_country_name|subaward_number|subaward_amount|subaward_action_date|subaward_type|subaward_description|subawardee_name|subawardee_country_name
ASST_NON_NU3HCK000010_7523|NU3HCK000010|477775.00|4572905.00|STRENGTHENING A NATIONAL SURVEILLANCE SYSTEM ON ANTIMICROBIAL RESISTANCE|STRENGTHENING A NATIONAL SURVEILLANCE SYSTEM ON ANTIMICROBIAL RESISTANCE|2022-07-08|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_NU3HCK000010_7523|NU3HCK000010|0.00|4572905.00|STRENGTHENING A NATIONAL SURVEILLANCE SYSTEM ON ANTIMICROBIAL RESISTANCE|STRENGTHENING A NATIONAL SURVEILLANCE SYSTEM ON ANTIMICROBIAL RESISTANCE|2022-09-08|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_SECAAS22LA0033_1900|SECAAS22LA0033|132000.00|132000.00|FY2022-GEP-EDUCATIONUSA-COMMISSION BRAZIL|FY2022-GEP-EDUCATIONUSA-COMMISSION BRAZIL|2022-04-19|Department of State|Department of State|COMISSAO PARA O INTERCAMBIO EDUCACIONAL ENTRE OS ESTADOS UNIDOS E O BRASIL||BRAZIL|BRAZIL|||||||
ASST_AGG_RRB_20220915_8010_BRA_6000||2059.32|2059.32|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE SOCIAL SECURITY EQUIVALENT ACCOUNT.|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE SOCIAL SECURITY EQUIVALENT ACCOUNT.|2022-09-15|Railroad Retirement Board|Railroad Retirement Board|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_AGG_RRB_20220515_8010_BRA_6000||2059.32|2059.32|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE SOCIAL SECURITY EQUIVALENT ACCOUNT.|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE SOCIAL SECURITY EQUIVALENT ACCOUNT.|2022-05-15|Railroad Retirement Board|Railroad Retirement Board|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR81022GR0001_1900|SBR81022GR0001|10000.00|10000.00|PREPARE ESL PRE-SERVICE TEACHERS IN UFC PEDAGOGICAL RESIDENCE PROGRAM & STATE PUBLIC HIGH SCHOOL IN-SERVICE TEACHERS TO INTEGRATE STEAM AND ESL INTO TEACHING PRACTICES, THEREBY ENHANCING SKILLS IN ENGLISH LANGUAGE, U.S. CULTURE, AND STEAM.|PREPARE ESL PRE-SERVICE TEACHERS IN UFC PEDAGOGICAL RESIDENCE PROGRAM & STATE PUBLIC HIGH SCHOOL IN-SERVICE TEACHERS TO INTEGRATE STEAM AND ESL INTO TEACHING PRACTICES, THEREBY ENHANCING SKILLS IN ENGLISH LANGUAGE, U.S. CULTURE, AND STEAM.|2022-09-26|Department of State|Department of State|FUNDACAO CETREDE||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3128_1900|SBR25021GR3128|0.00|32657.33|THIS IS A NO-COST AMENDMENT. AWARD IS HEREBY BEING AMENDMENT FOR BUDGET REALIGNMENT.|THIS IS A NO-COST AMENDMENT. AWARD IS HEREBY BEING AMENDMENT FOR BUDGET REALIGNMENT.|2022-04-11|Department of State|Department of State|SERVICO SOCIAL DA INDUSTRIA DEPARTAMENTO REGIONAL DE MINAS GERAIS SESI / DRMG|SERVICO SOCIAL DA INDUSTRIA DEPARTAMENTO REGIONAL DE MINAS GERAIS SESI / DRMG|BRAZIL|BRAZIL|||||||
ASST_AGG_RRB_20220215_8010_BRA_6000||2059.32|2059.32|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE SOCIAL SECURITY EQUIVALENT ACCOUNT.|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE SOCIAL SECURITY EQUIVALENT ACCOUNT.|2022-02-15|Railroad Retirement Board|Railroad Retirement Board|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR72022IN0001_1900|SBR72022IN0001|100.00|100.00|DESCRIPTION MASKED FOR PII PURPOSES|DESCRIPTION MASKED FOR PII PURPOSES|2022-06-02|Department of State|Department of State|INDIVIDUAL RECIPIENT||BRAZIL|BRAZIL|||||||
ASST_NON_NU3HCK000010_7523|NU3HCK000010|0.00|4572905.00|STRENGTHENING A NATIONAL SURVEILLANCE SYSTEM ON ANTIMICROBIAL RESISTANCE|STRENGTHENING A NATIONAL SURVEILLANCE SYSTEM ON ANTIMICROBIAL RESISTANCE|2022-12-21|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_AGG_2800202205310000013477_2800||2719802.00|2719802.00|AGGREGATE RETIREMENT INSURANCE (RI) BENEFITS|AGGREGATE RETIREMENT INSURANCE (RI) BENEFITS|2022-05-31|Social Security Administration|Social Security Administration|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_NON_NU3HCK000010_7523|NU3HCK000010|0.00|4572905.00|STRENGTHENING A NATIONAL SURVEILLANCE SYSTEM ON ANTIMICROBIAL RESISTANCE|STRENGTHENING A NATIONAL SURVEILLANCE SYSTEM ON ANTIMICROBIAL RESISTANCE|2022-05-18|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_AGG_2800202211300000013482_2800||2676046.00|2676046.00|AGGREGATE RETIREMENT INSURANCE (RI) BENEFITS|AGGREGATE RETIREMENT INSURANCE (RI) BENEFITS|2022-11-30|Social Security Administration|Social Security Administration|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_AGG_2800202211300000019772_2800||811363.00|811363.00|AGGREGATE SURVIVORS INSURANCE (SI) BENEFITS|AGGREGATE SURVIVORS INSURANCE (SI) BENEFITS|2022-11-30|Social Security Administration|Social Security Administration|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_AGG_RRB_20220615_8010_BRA_6000||2059.32|2059.32|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE SOCIAL SECURITY EQUIVALENT ACCOUNT.|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE SOCIAL SECURITY EQUIVALENT ACCOUNT.|2022-06-15|Railroad Retirement Board|Railroad Retirement Board|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_AGG_RRB_20220715_8010_BRA_6000||2059.32|2059.32|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE SOCIAL SECURITY EQUIVALENT ACCOUNT.|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE SOCIAL SECURITY EQUIVALENT ACCOUNT.|2022-07-15|Railroad Retirement Board|Railroad Retirement Board|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_NON_BR933_1143|BR933|124900.00|124900.00|WOMEN SMALL FARMERS IN THE CHAPADA DIAMANTINA REGION OF BAHIA, BRAZIL, CURRENTLY LACK SUFFICIENT OPPORTUNITIES TO EARN INCOME AND ACCESS MARKETS FOR THEIR COFFEE PRODUCTS. THE IAF SUPPORTS COMMUNITY-LED SOLUTIONS FOR WOMEN PRODUCERS TO EXPAND THEIR ECONOMIC OPPORTUNITIES, LEADERSHIP SKILLS, AND FINANCIAL AUTONOMY IN BRAZIL. OUR GRANTEE ASSOCIAÇÃO DO DESENVOLVIMENTO AGRÍCOLA E COMUNITÁRIO DE LAGOA DA BOA VISTA (ADAC), A COMMUNITY ASSOCIATION LED BY WOMEN, IS PROVIDING ITS WOMEN PRODUCERS WITH TECHNICAL SKILLS AND THE CAPACITY TO PROCESS GREEN COFFEE BEANS—INCLUDING OTHERWISE UNSALEABLE SMALL BEANS—INTO A VALUE-ADDED OIL USED AS A BASE PRODUCT IN COSMETICS. THIS GRANT IS PART OF THE IAF’S SUSTAINABLE AGRICULTURE INITIATIVE TO IMPROVE THE LIVELIHOODS OF SMALLHOLDER FARMERS, AND IAF’S WOMEN INVESTING IN GROWTH AND SECURITY (WINGS) INITIATIVE TO EMPOWER WOMEN AS BUSINESS AND COMMUNITY LEADERS.|WOMEN SMALL FARMERS IN THE CHAPADA DIAMANTINA REGION OF BAHIA, BRAZIL, CURRENTLY LACK SUFFICIENT OPPORTUNITIES TO EARN INCOME AND ACCESS MARKETS FOR THEIR COFFEE PRODUCTS. THE IAF SUPPORTS COMMUNITY-LED SOLUTIONS FOR WOMEN PRODUCERS TO EXPAND THEIR ECONOMIC OPPORTUNITIES, LEADERSHIP SKILLS, AND FINANCIAL AUTONOMY IN BRAZIL. OUR GRANTEE ASSOCIAÇÃO DO DESENVOLVIMENTO AGRÍCOLA E COMUNITÁRIO DE LAGOA DA BOA VISTA (ADAC), A COMMUNITY ASSOCIATION LED BY WOMEN, IS PROVIDING ITS WOMEN PRODUCERS WITH TECHNICAL SKILLS AND THE CAPACITY TO PROCESS GREEN COFFEE BEANS—INCLUDING OTHERWISE UNSALEABLE SMALL BEANS—INTO A VALUE-ADDED OIL USED AS A BASE PRODUCT IN COSMETICS. THIS GRANT IS PART OF THE IAF’S SUSTAINABLE AGRICULTURE INITIATIVE TO IMPROVE THE LIVELIHOODS OF SMALLHOLDER FARMERS, AND IAF’S WOMEN INVESTING IN GROWTH AND SECURITY (WINGS) INITIATIVE TO EMPOWER WOMEN AS BUSINESS AND COMMUNITY LEADERS.|2022-05-06|Inter-American Foundation|Inter-American Foundation|OSCIP ASSOCIACAO DO DESENVOLVIMENTO AGRICOLA E COMUNITARIO DE LAGOA DA BOA VISTA||BRAZIL|BRAZIL|||||||
ASST_NON_NU3HCK000010_7523|NU3HCK000010|1284615.00|4572905.00|STRENGTHENING A NATIONAL SURVEILLANCE SYSTEM ON ANTIMICROBIAL RESISTANCE|STRENGTHENING A NATIONAL SURVEILLANCE SYSTEM ON ANTIMICROBIAL RESISTANCE|2022-07-08|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_SBR25020GR0042_1900|SBR25020GR0042|0.00|62985.10|TO MAKE CHANGES IN THE BUDGET BREAKDOWN.|TO MAKE CHANGES IN THE BUDGET BREAKDOWN.|2022-03-29|Department of State|Department of State|COLIGACAO DAS ENTIDADES DE EDUCACAO E CULTURA BRASIL - ESTADOS UNIDOS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25022GR0049_1900|SBR25022GR0049|15000.00|15000.00|TRAINING COURSE TO EMPOWER 40 PUBLIC HIGH SCHOOL GIRLS IN PERIPHERAL CITIES IN THE FEDERAL DISTRICT.|TRAINING COURSE TO EMPOWER 40 PUBLIC HIGH SCHOOL GIRLS IN PERIPHERAL CITIES IN THE FEDERAL DISTRICT.|2022-09-27|Department of State|Department of State|MISCELLANEOUS FOREIGN AWARDEES||BRAZIL|BRAZIL|||||||
ASST_NON_NU3HCK000010_7523|NU3HCK000010|0.00|4572905.00|STRENGTHENING A NATIONAL SURVEILLANCE SYSTEM ON ANTIMICROBIAL RESISTANCE|STRENGTHENING A NATIONAL SURVEILLANCE SYSTEM ON ANTIMICROBIAL RESISTANCE|2022-07-08|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_SBR81020GR0003_1900|SBR81020GR0003|-915.53|11084.47|AWARD IS HEREBY BEING AMENDED TO DEOBLIGATE UNUSED FUNDS.|AWARD IS HEREBY BEING AMENDED TO DEOBLIGATE UNUSED FUNDS.|2022-09-08|Department of State|Department of State|FUNDACAO CULTURAL E DE FOMENTO A PESQUISA ENSINO EXTENSAO E INOVACAO - FADEX||BRAZIL|BRAZIL|||||||
ASST_NON_SINLEC22LA0213_1900|SINLEC22LA0213|1700000.00|1700000.00|TO COMBAT TRANSNATIONAL CRIMINAL ACTIVITY BY BRAZIL-BASED GROUPS USING RIVERS AND ATLANTIC PORTS.|TO COMBAT TRANSNATIONAL CRIMINAL ACTIVITY BY BRAZIL-BASED GROUPS USING RIVERS AND ATLANTIC PORTS.|2022-08-27|Department of State|Department of State|UNITED NATIONS OFFICE ON DRUGS AND CRIME||AUSTRIA|BRAZIL|||||||
ASST_NON_SBR81022GR0012_1900|SBR81022GR0012|3045.00|3045.00|CONDUCT MEDIA LITERACY WORKSHOPS AND SEMINARS FOR PUBLIC HIGH SCHOOL STUDENTS AND TEACHERS IN PERNAMBUCO TO IMPROVE CRITICAL THINKING SKILLS REGARDING MEDIA CONSUMPTION, EMPOWER YOUTH TO COMBAT DISINFORMATION, AND CREATE A PROTOTYPE FOR PUBLIC POLICIES.|CONDUCT MEDIA LITERACY WORKSHOPS AND SEMINARS FOR PUBLIC HIGH SCHOOL STUDENTS AND TEACHERS IN PERNAMBUCO TO IMPROVE CRITICAL THINKING SKILLS REGARDING MEDIA CONSUMPTION, EMPOWER YOUTH TO COMBAT DISINFORMATION, AND CREATE A PROTOTYPE FOR PUBLIC POLICIES.|2022-09-26|Department of State|Department of State|UNIVERSIDADE CATOLICA DE PERNAMBUCO||BRAZIL|BRAZIL|||||||
"ASST_AGG_RRB_20220515_""0111""_BRA_6000"||0.00|0.00|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE VESTED DUAL BENEFIT ACCOUNT.|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE VESTED DUAL BENEFIT ACCOUNT.|2022-05-15|Railroad Retirement Board|Railroad Retirement Board|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_NON_NU3HCK000010_7523|NU3HCK000010|0.00|4572905.00|STRENGTHENING A NATIONAL SURVEILLANCE SYSTEM ON ANTIMICROBIAL RESISTANCE|STRENGTHENING A NATIONAL SURVEILLANCE SYSTEM ON ANTIMICROBIAL RESISTANCE|2022-12-21|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_SBR25022GR0047_1900|SBR25022GR0047|108312.00|108312.00|TO ORGANIZE ALL THE LOGISTICS AND VENUE FOR THE ACCESS AMAZON SUMMIT (JULY 20-23, 2023) FOR A TOTAL OF 60 PARTICIPANTS FROM BRAZIL AND PERU. BESIDES THAT, THEY WILL PROVIDE COACHING AND MANAGEMENT OF THE SMALL GRANTS TO PARTICIPANTS.|TO ORGANIZE ALL THE LOGISTICS AND VENUE FOR THE ACCESS AMAZON SUMMIT (JULY 20-23, 2023) FOR A TOTAL OF 60 PARTICIPANTS FROM BRAZIL AND PERU. BESIDES THAT, THEY WILL PROVIDE COACHING AND MANAGEMENT OF THE SMALL GRANTS TO PARTICIPANTS.|2022-09-29|Department of State|Department of State|CONSELHO CULTURAL THOMAS JEFFERSON|CONSELHO CULTURAL THOMAS JEFFERSON|BRAZIL|BRAZIL|||||||
ASST_NON_SBR25020GR0029_1900|SBR25020GR0029|-120.90|11879.10|AWARD IS HEREBY BEING AMENDED TO DEOBLIGATE UNUSED FUNDS.|AWARD IS HEREBY BEING AMENDED TO DEOBLIGATE UNUSED FUNDS.|2022-09-09|Department of State|Department of State|CONSELHO CULTURAL THOMAS JEFFERSON|CONSELHO CULTURAL THOMAS JEFFERSON|BRAZIL|BRAZIL|||||||
ASST_NON_BR934_1143|BR934|125000.00|125000.00|TOURISM IN THE HISTORIC COLONIAL DISTRICT OF S? LU?, BRAZIL, IS A POTENTIAL SOURCE OF ECONOMIC BENEFIT TO RESIDENTS THAT COULD EXPAND JOBS IN THE REGION AND IMPROVE LIVELIHOODS. AT THE IAF, WE SUPPORT COMMUNITY-LED SOLUTIONS TO EXPAND ECONOMIC OPPORTUNITIES IN BRAZIL. OUR GRANTEE INSTITUTO DE ESTUDOS SOCIAIS E TERAPIAS INTEGRATIVAS (IESTI) WORKS WITH LOCAL RESIDENTS, MUSEUMS, BUSINESS OWNERS, AND TOURISM OPERATORS IN THE HISTORIC DISTRICT OF S? LU? DO MARANH?, A UNESCO WORLD HERITAGE SITE. IESTI INVOLVES INDIVIDUALS AND INSTITUTIONS IN MAPPING LOCAL OPPORTUNITIES, TRAINING SERVICE PROVIDERS, AND FOSTERING A NETWORK AROUND CULTURE AND COMMUNITY-BASED TOURISM.|TOURISM IN THE HISTORIC COLONIAL DISTRICT OF S? LU?, BRAZIL, IS A POTENTIAL SOURCE OF ECONOMIC BENEFIT TO RESIDENTS THAT COULD EXPAND JOBS IN THE REGION AND IMPROVE LIVELIHOODS. AT THE IAF, WE SUPPORT COMMUNITY-LED SOLUTIONS TO EXPAND ECONOMIC OPPORTUNITIES IN BRAZIL. OUR GRANTEE INSTITUTO DE ESTUDOS SOCIAIS E TERAPIAS INTEGRATIVAS (IESTI) WORKS WITH LOCAL RESIDENTS, MUSEUMS, BUSINESS OWNERS, AND TOURISM OPERATORS IN THE HISTORIC DISTRICT OF S? LU? DO MARANH?, A UNESCO WORLD HERITAGE SITE. IESTI INVOLVES INDIVIDUALS AND INSTITUTIONS IN MAPPING LOCAL OPPORTUNITIES, TRAINING SERVICE PROVIDERS, AND FOSTERING A NETWORK AROUND CULTURE AND COMMUNITY-BASED TOURISM.|2022-09-14|Inter-American Foundation|Inter-American Foundation|INSTITUTO DE ESTUDOS SOCIAIS E TERAPIAS INTEGRATIVAS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25022GR0032_1900|SBR25022GR0032|15000.00|15000.00|TO FUND AIR TRAVEL FOR 10 EDUCATIONUSA ADVISORS SELECTED FOR THE WHA FORUM IN NOVEMBER 2022.|TO FUND AIR TRAVEL FOR 10 EDUCATIONUSA ADVISORS SELECTED FOR THE WHA FORUM IN NOVEMBER 2022.|2022-09-27|Department of State|Department of State|FACULDADES CATOLICAS|FACULDADES CATOLICAS|BRAZIL|BRAZIL|||||||
ASST_NON_NU51IP000851_7523|NU51IP000851|0.00|250000.00|MAINTENANCE OF INFLUENZA SURVEILLANCE CAPACITY BY NATIONAL HEALTH AUTHORITIES OUTSIDE THE UNITED STATES.|MAINTENANCE OF INFLUENZA SURVEILLANCE CAPACITY BY NATIONAL HEALTH AUTHORITIES OUTSIDE THE UNITED STATES.|2022-10-17|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_AGG_2800202204300000013558_2800||2706101.00|2706101.00|AGGREGATE RETIREMENT INSURANCE (RI) BENEFITS|AGGREGATE RETIREMENT INSURANCE (RI) BENEFITS|2022-04-30|Social Security Administration|Social Security Administration|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_NON_NU51IP000851_7523|NU51IP000851|-75000.00|250000.00|MAINTENANCE OF INFLUENZA SURVEILLANCE CAPACITY BY NATIONAL HEALTH AUTHORITIES OUTSIDE THE UNITED STATES.|MAINTENANCE OF INFLUENZA SURVEILLANCE CAPACITY BY NATIONAL HEALTH AUTHORITIES OUTSIDE THE UNITED STATES.|2022-10-17|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_SBR82020CA0011_1900|SBR82020CA0011|0.00|24870.00|TO EXTEND PERIOD OF PERFORMANCE, ADJUST BUDGET AND CHANGE GO.|TO EXTEND PERIOD OF PERFORMANCE, ADJUST BUDGET AND CHANGE GO.|2022-01-31|Department of State|Department of State|INSTITUTO BRASIL ESTADOS UNIDOS|INSTITUTO BRASIL ESTADOS UNIDOS|BRAZIL|BRAZIL|||||||
ASST_AGG_2800202212310000013635_2800||2820362.00|2820362.00|AGGREGATE RETIREMENT INSURANCE (RI) BENEFITS|AGGREGATE RETIREMENT INSURANCE (RI) BENEFITS|2022-12-31|Social Security Administration|Social Security Administration|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25019GR0102_1900|SBR25019GR0102|0.00|150000.00|GRANTEE WILL DEVELOP AND IMPLEMENT A WORKSHOP IN THE U.S. CONSULATE IN RIO PRIOR TO THE TRIP TO THE UNITED STATES. IN ADDITION TO IT, THE GRANTEE WISHES TO SEND TWO STAFF MEMBERS WITH THE FINALISTS TO THE FINAL PART OF THE PROGRAM.|GRANTEE WILL DEVELOP AND IMPLEMENT A WORKSHOP IN THE U.S. CONSULATE IN RIO PRIOR TO THE TRIP TO THE UNITED STATES. IN ADDITION TO IT, THE GRANTEE WISHES TO SEND TWO STAFF MEMBERS WITH THE FINALISTS TO THE FINAL PART OF THE PROGRAM.|2022-06-15|Department of State|Department of State|AGENCIA DE JORNALISMO E CHECAGEM LUPA S/A||BRAZIL|BRAZIL|||||||
ASST_AGG_RRB_20220315_8011_BRA_6000||49.79|49.79|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE RAILROAD RETIREMENT ACCOUNT.|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE RAILROAD RETIREMENT ACCOUNT.|2022-03-15|Railroad Retirement Board|Railroad Retirement Board|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-03-11|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_SLMAQM18CA2108_1900|SLMAQM18CA2108|0.00|907327.00|GOR'S CHANGE TO ANNE H. ARBUTHNOT.|GOR'S CHANGE TO ANNE H. ARBUTHNOT.|2022-03-29|Department of State|Department of State|CONVENTION ON INTERNATIONAL TRADE IN ENDANGERED SPECIES OF WILD FAUNA AND FLORA||SWITZERLAND|BRAZIL|||||||
ASST_AGG_2800202210310000013486_2800||2967062.00|2967062.00|AGGREGATE RETIREMENT INSURANCE (RI) BENEFITS|AGGREGATE RETIREMENT INSURANCE (RI) BENEFITS|2022-10-31|Social Security Administration|Social Security Administration|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
"ASST_AGG_RRB_20220315_""0111""_BRA_6000"||0.00|0.00|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE VESTED DUAL BENEFIT ACCOUNT.|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE VESTED DUAL BENEFIT ACCOUNT.|2022-03-15|Railroad Retirement Board|Railroad Retirement Board|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_AGG_2800202205310000006377_2800||146148.00|146148.00|AGGREGATE DISABILITY INSURANCE (DI) BENEFITS|AGGREGATE DISABILITY INSURANCE (DI) BENEFITS|2022-05-31|Social Security Administration|Social Security Administration|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_NON_NU51IP000851_7523|NU51IP000851|-150000.00|250000.00|MAINTENANCE OF INFLUENZA SURVEILLANCE CAPACITY BY NATIONAL HEALTH AUTHORITIES OUTSIDE THE UNITED STATES.|MAINTENANCE OF INFLUENZA SURVEILLANCE CAPACITY BY NATIONAL HEALTH AUTHORITIES OUTSIDE THE UNITED STATES.|2022-10-17|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_SBR25022GR0022_1900|SBR25022GR0022|11600.00|11600.00|HOST STRATEGIC PROGRAMS TO ADVANCE DIVERSITY, EQUITY, INCLUSION, HEALTH, DEMOCRACY, HUMAN RIGHTS, WOMEN'S EMPOWERMENT, ENVIRONMENT, DIGITAL LITERACY, AMERICAN CULTURE, AND STUDY IN THE UNITED STATES|HOST STRATEGIC PROGRAMS TO ADVANCE DIVERSITY, EQUITY, INCLUSION, HEALTH, DEMOCRACY, HUMAN RIGHTS, WOMEN'S EMPOWERMENT, ENVIRONMENT, DIGITAL LITERACY, AMERICAN CULTURE, AND STUDY IN THE UNITED STATES|2022-09-22|Department of State|Department of State|ASSOCIACAO CULTURAL BRASIL ESTADOS UNIDOS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25022GR0028_1900|SBR25022GR0028|25000.00|25000.00|TO CARRY OUT ONE OF THREE-DAY WORKSHOPS WITH INDIGENOUS SCHOLARS AND LANGUAGE ACTIVISTS IN BRAZIL; PROMOTE THE EXCHANGE OF EXPERIENCES BETWEEN INDIGENOUS SCHOLARS FROM BRAZIL AND THE US, AND DEVELOP A WEBSITE TO DISSEMINATE PROJECT OUTCOMES.|TO CARRY OUT ONE OF THREE-DAY WORKSHOPS WITH INDIGENOUS SCHOLARS AND LANGUAGE ACTIVISTS IN BRAZIL; PROMOTE THE EXCHANGE OF EXPERIENCES BETWEEN INDIGENOUS SCHOLARS FROM BRAZIL AND THE US, AND DEVELOP A WEBSITE TO DISSEMINATE PROJECT OUTCOMES.|2022-09-26|Department of State|Department of State|KAMURI - INDIGENISMO, ACAO AMBIENTAL, CULTURAL E EDUCACAO||BRAZIL|BRAZIL|||||||
